hero,total_appearances,late_n,late_wr,ultra_n,ultra_wr,overall_wr
Kunkka,310,97,55.7,49,42.9,49.0
Lion,308,99,51.5,59,50.8,50.3
Earthshaker,300,85,51.8,63,47.6,52.0
Keeper of the Light,297,80,41.2,41,29.3,50.8
Dazzle,281,91,47.3,37,40.5,44.1
Razor,278,95,51.6,36,47.2,51.8
Dark Seer,277,73,53.4,44,40.9,48.7
Luna,257,81,49.4,34,38.2,45.9
Lycan,255,67,52.2,41,51.2,52.5
Faceless Void,248,82,58.5,35,45.7,54.4
Medusa,248,54,55.6,39,56.4,54.4
Weaver,247,79,43.0,31,51.6,45.7
Skywrath Mage,228,65,36.9,36,50.0,42.5
Troll Warlord,227,52,50.0,27,55.6,44.5
Huskar,224,57,63.2,24,54.2,58.5
Morphling,222,53,52.8,23,47.8,49.5
Lifestealer,217,70,50.0,39,59.0,47.9
Alchemist,213,63,44.4,40,62.5,53.5
Venomancer,208,61,49.2,38,60.5,54.8
Clinkz,201,61,59.0,33,54.5,51.7
Ancient Apparition,201,48,43.8,41,41.5,44.3
Magnus,201,49,49.0,27,48.1,52.2
Enigma,200,68,51.5,37,56.8,54.5
Nyx Assassin,198,62,53.2,30,46.7,51.5
Techies,196,54,50.0,43,30.2,42.9
Juggernaut,188,50,48.0,13,38.5,53.2
Grimstroke,174,61,50.8,23,52.2,50.6
Pudge,166,40,42.5,17,41.2,47.0
Death Prophet,153,49,42.9,23,39.1,50.3
Spirit Breaker,151,41,41.5,19,52.6,47.7
Oracle,151,35,45.7,23,43.5,50.3
Sniper,146,43,37.2,18,44.4,45.9
Bounty Hunter,131,34,64.7,18,44.4,55.0
Slark,129,26,50.0,13,69.2,49.6
Lich,126,45,53.3,27,55.6,49.2
Night Stalker,125,25,40.0,19,42.1,48.8
Io,124,28,46.4,16,18.8,46.8
Mirana,112,22,45.5,15,73.3,50.9
Elder Titan,106,26,53.8,25,48.0,53.8
Ogre Magi,105,29,58.6,14,28.6,48.6
Lina,104,30,53.3,14,50.0,46.2
Lone Druid,103,31,71.0,18,72.2,65.0
Crystal Maiden,101,17,52.9,15,46.7,49.5
Winter Wyvern,99,38,47.4,20,45.0,55.6
Earth Spirit,95,29,48.3,12,66.7,51.6
Drow Ranger,90,29,41.4,18,50.0,47.8
Tinker,85,22,50.0,24,37.5,49.4
Anti-Mage,81,16,31.2,10,50.0,56.8
Omniknight,78,24,29.2,14,57.1,50.0
Broodmother,71,17,47.1,6,66.7,60.6
Necrophos,70,19,36.8,12,50.0,42.9
Phantom Assassin,61,14,50.0,6,50.0,47.5
Meepo,55,13,38.5,9,44.4,54.5
Witch Doctor,53,17,64.7,7,57.1,54.7
Phantom Lancer,45,16,43.8,6,16.7,33.3
Zeus,45,15,33.3,10,60.0,46.7
Riki,45,12,75.0,6,66.7,48.9
Chaos Knight,44,12,41.7,10,40.0,36.4
Legion Commander,34,11,81.8,8,25.0,64.7
Vengeful Spirit,28,7,42.9,5,60.0,67.9
Spectre,20,6,33.3,2,50.0,30.0
Bloodseeker,13,4,50.0,3,66.7,53.8
Visage,11,4,50.0,1,0.0,36.4
Arc Warden,9,1,100.0,3,33.3,44.4
Outworld Destroyer,7,2,50.0,2,50.0,28.6
Wraith King,6,3,33.3,1,0.0,33.3
